AMP ID,Project Description,Project title,Actual Completion Date,Actual Start Date,Proposed Completion Date,Proposed Start Date,Country,Suco,District,SubDistrict,Donor Agency,Primary Sector,Primary Sector Sub-Sector,2005 Actual Commitments,2005 Actual Disbursements,2005 Planned Commitments,2005 Planned Disbursements,2006 Actual Commitments,2006 Actual Disbursements,2006 Planned Commitments,2006 Planned Disbursements,2007 Actual Commitments,2007 Actual Disbursements,2007 Planned Commitments,2007 Planned Disbursements,2008 Actual Commitments,2008 Actual Disbursements,2008 Planned Commitments,2008 Planned Disbursements,2009 Actual Commitments,2009 Actual Disbursements,2009 Planned Commitments,2009 Planned Disbursements,2010 Actual Commitments,2010 Actual Disbursements,2010 Planned Commitments,2010 Planned Disbursements,2011 Actual Commitments,2011 Actual Disbursements,2011 Planned Commitments,2011 Planned Disbursements,2012 Actual Commitments,2012 Actual Disbursements,2012 Planned Commitments,2012 Planned Disbursements,2013 Actual Commitments,2013 Actual Disbursements,2013 Planned Commitments,2013 Planned Disbursements,2014 Actual Commitments,2014 Actual Disbursements,2014 Planned Commitments,2014 Planned Disbursements,2015 Actual Commitments,2015 Actual Disbursements,2015 Planned Commitments,2015 Planned Disbursements,2016 Actual Commitments,2016 Actual Disbursements,2016 Planned Commitments,2016 Planned Disbursements,2017 Actual Commitments,2017 Actual Disbursements,2017 Planned Commitments,2017 Planned Disbursements,2018 Actual Commitments,2018 Actual Disbursements,2018 Planned Commitments,2018 Planned Disbursements,2019 Actual Commitments,2019 Actual Disbursements,2019 Planned Commitments,2019 Planned Disbursements,2020 Actual Commitments,2020 Actual Disbursements,2020 Planned Commitments,2020 Planned Disbursements,Total Actual Commitments,Total Actual Disbursements,Total Planned Commitments,Total Planned Disbursements
  87292841798,Support the implementation of 2009 Demographic and Health Survey (DHS) in partnership with other development partners,Availability of Desegregated Demographic and Socio-Economic Data,31/12/2013,01/01/2013,31/12/2013,01/01/2009,Timor-Leste, ," - Baucau
 - Bobonaro
 - Cova Lima
 - Dili
 - Ermera
 - Lautem
 - Liquica
 - Manatuto
 - Manufahi
 - Oecussi
 - Viqueque"," - Alas
 - Atabae
 - Atauro
 - Atsabe
 - Balibo
 - Barique
 - Baucau
 - Bazartete
 - Bobonaro
 - Cailaco
 - Cristo Rei
 - Dom Aleixo
 - Ermera Kota
 - Fatuberliu
 - Fatululic
 - Fatumean
 - Fohorem
 - Hatolia
 - Iliomar
 - Laclo
 - Laclubar
 - Lacluta
 - Laga
 - Laleia
 - Lautem
 - Lete Foho
 - Lolotoe
 - Lospalos
 - Luro
 - Maliana
 - Manatuto
 - Maubara
 - Maukatar
 - Metinaro
 - Nein Feto
 - Nitibe
 - Oesilo
 - Ossu
 - Pante Makasar
 - Quelicai
 - Railaco
 - Same
 - Soibada
 - Suai
 - Tilomar
 - Turiscai
 - Tutuala
 - Uatu Carbau
 - Vemasse
 - Venilale
 - Vera Cruz
 - Viqueque
 - Watulari
 - Zumalai",United Nations Population Fund,150 - GOVERNMENT AND CIVIL SOCIETY, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560000,314094,0,560000,0,637783,0,630575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560000,951877,0,1190575
  872921018321,"The National Cooperative Business Association (NCBA) with Coopertaive Cafe Timor-Leste (CCT) are teh implementing partners of the currenct COCAR Programme, of which the coffee component (Coffee Farm REhabilitation Project) is co-funded by USAID and the NZ Aid Programme. The Coffee Farm Rehabilitation Project will come to an end in September 2014. Given the continued strong development need, and success to date of the COCAR coffee component, the NZ Aid Programme sought to explore further, longer term support to the cocoa sector. The New Zealand Aid Programme sought in early 2014 from NCBA, a concept Note proposal for coffee and cocoa activities in Timor-Leste.",Coffee and Cocoa Development in Timor Leste,,,,,Timor-Leste, ," - Ainaro
 - Ermera
 - Liquica", ,"New Zealand Aid Programme, Ministry of Foreign Affairs and Trade",311 - AGRICULTURE, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4268.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4268.615,0,0
  87292897660,Category 1: Communicable Diseases: 1.1.HIV/AIDS; 1.2.TB; 1.3.Malaria; 1.4.NTDs (Neglected Tropical Diseases); 1.5.EPI/VPDs (Expanded Program on Immunization/Vaccine Preventable Diseases),Category 1: Communicable Diseases: 1.1.HIV/AIDS; 1.2.TB; 1.3.Malaria; 1.4.NTDs (Neglected Tropical Diseases); 1.5.EPI/VPDs (Expanded Program on Immunization/Vaccine Preventable Diseases),,01/01/2014,31/12/2015,01/01/2014,Timor-Leste, , , ,World Health Organization," - 120 - HEALTH
 - 130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH"," - -- 122 - Basic health
 - -- 1309 - Population policies/programmes and reproductive health (Sub-sector)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999,91571,966712,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49999,91571,966712,0
  87292486919,"Working with ChildFund to improve sustainable economic development for 600 youth and their families in two districts in rural Timor-Leste (Bonobaro and Covalima). An initial assessment will be undertaken to identify appropriate employment opportunities and market linkages for youth. Youth will be mentored and trained in technical, vocational and life skills. The activity will establish youth centres in both of the target districts.",Strengthening Economic Development for Youth,,30/10/2013,,30/10/2013,Timor-Leste, ," - Bobonaro
 - Cova Lima", ,"New Zealand Aid Programme, Ministry of Foreign Affairs and Trade"," - 110 - EDUCATION
 - 321 - INDUSTRY"," - -- 113 - Secondary Education
 - -- 3219 - Industry (Sub-sector)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908648.829,408557.41,0,408557.41,0,0,0,462763.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908648.829,408557.41,0,871321.141
  87292481496,"This three year project aims to develop community magazines and radio programs for low-literate adults, to promote economic and social development, particularly for the most disadvantaged and vulnerable members of rural communities. The magazine has been developed based on the highly successful model of the pre-existing Lafaek Magazine, using the same characters, similar formats, and capitalizing on its highly respected brand. Some new adult characters have been introduced who are tailored to appeal to the new adult target. The first year activities focused on research, staff training, developing a format suitable to a low-literate public, field testing the magazine and trialing the use of the magazine to reinforce development messages of complementary projects. The second and third years will be dedicated to increasing magazine production, scaling up the application of the magazine as a rural development training tool, monitoring activities and establish additional synergies with other partners, such as NGOs and governmental initiatives, in order to ensure the project's sustainability.",Lafaek Community Media for Rural Economic Development,,07/10/2010,30/11/2013,,Timor-Leste," - Ai Assa
 - Atuaben
 - Batu Manu
 - Beco
 - Belakasak
 - Bobonaro
 - Dato
 - Debos
 - Fatumasi
 - Gildapil
 - Gugleur
 - Holpilat
 - Labarai
 - Lauhata
 - Lebos
 - Leimea Leten
 - Leohitu
 - Leolima
 - Lontas
 - Lour
 - Lourba
 - Lupal
 - Malabe
 - Malilait
 - Matai
 - Maudema
 - Obulo
 - Odomau
 - Ogues
 - Opa
 - Ritabou
 - Suai Loro
 - Tibar
 - Tirlelo
 - Ulmera
 - Vatuboro
 - Vatuvou
 - Zulo"," - Ainaro
 - Bobonaro
 - Cova Lima
 - Ermera
 - Liquica"," - Atsabe
 - Balibo
 - Bazartete
 - Bobonaro
 - Hato Udo
 - Liquica
 - Lolotoe
 - Maliana
 - Maubara
 - Maukatar
 - Suai
 - Tilomar
 - Zumalai","New Zealand Aid Programme, Ministry of Foreign Affairs and Trade",110 - EDUCATION,-- 112 - Basic education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323000,0,340930,711330,230000,0,370400,0,375414,0,250000,0,473569,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711330,1401983,0,1211330
  87292481766,"To support the long-term professional development of the Policia Nacional de Timor-Leste (PNTL), the Timor-Leste Government has signalled an interest in receiving capacity development support from key bilateral partners. The Timor-Leste Secretary of State for Security and PNTL have requested New Zealand assistance in the area of community policing. Community policing features centrally in the 2009 PNTL Organic Law, and both political and police leaders have prioritised community policing as an appropriate approach to reduce conflict and crime in Timor-Leste, underpinning economic and social development. The overall goal of the TLCPP is to build safe and secure communities, through effective and efficient community policing in Timor-Leste. The programme comprises three components: 1) A strategic component, focused at the national level, providing support for PNTL to further develop and institutionalise its community policing policy, strategy, action plans, systems and procedures, and mechanisms for engagement with community stakeholders, and to develop special programmes on key community policing issues in consultation with districts. This will involve an NZ Police long-term Advisor providing support to PNTL, particularly the Community Policing Unit and NZ Police short-term technical assistance in areas of particular need such as Police Intelligence Services and development of programmes on key community policing issues such as prevention of domestic violence. 2) A training component to support effective recruit and in-service community policing training (among all PNTL staff) which will not only develop knowledge and skills in community policing, but also the motivation, confidence and commitment to implement such an approach. This will involve an NZ Police Training Advisor providing support to the Police Training Centre and Community Policing Unit for the development of appropriate training materials and development and implementation of effective training programmes. At the commencement of the programme there will be an opportunity for PNTL managers at both national and district levels who are involved in the programme to visit New Zealand for comparative study purposes and to begin programme planning with their NZ Police counterparts. 3) An operational component in the districts focused on providing support for PNTL District Commanders and staff to institutionalise effective community policing systems and procedures and to deliver effective community policing at district, sub district and village levels. This will involve NZ Police Mentors working in 3-4 districts. The Mentors will visit 3-4 times a year to a maximum of 12 weeks and be available for contact in between visits to the extent that this is practicable. The Community Policing and Training Advisors will also have a role in supporting District Managers in between visits by Mentors.",Timor-Leste Community Policing Programme,31/07/2016,15/07/2011,31/07/2016,,Timor-Leste, ," - Aileu
 - Baucau
 - Bobonaro
 - Liquica
 - Manatuto", ,"New Zealand Aid Programme, Ministry of Foreign Affairs and Trade",150 - GOVERNMENT AND CIVIL SOCIETY,"-- 152 - Conflict prevention and resolution, peace and security",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49541.146,0,52655.333,11557037.72,18777.226,0,94553.706,0,726863.672,0,1882671.887,0,1366978.863,0,1080823.333,0,1787796.548,0,1274318.239,0,0,0,1397001.499,0,0,0,139700.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11557037.72,3949957.457,0,5921724.149
  87292538314,"Demonstration of maize planting, training for the Timorese agricultural technicians on maize planting technology and affording seeds","Three-party cooperation on agriculture between China, US & Timor-Leste",30/10/2014,01/10/2013,30/10/2014,01/10/2013,Timor-Leste, , , ,The People's Republic of China,311 - AGRICULTURE,-- 3119 - Agriculture (Sub-sector),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212407.888,50000,0,0,0,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212407.888,210000,0,0
  87292497563, ,The Project for Establishment of Fisheries Training Center in Liquica District,,,,,Timor-Leste, ,Liquica, ,Korean International Cooperation Agency,313 - FISHING,-- 3139 - Fishing (Sub-sector),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251647.657,251647.657,1500000,0,0,0,1500000,0,0,0,1500000,0,0,0,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,251647.657,251647.657,6000000,0
  87292481500,"The purpose of the Head of Mission Fund is to enable New Zealand Posts, consistent with their diplomacy objectives, to flexibly support activities which manifestly and directly meet development needs in recipient countries. HOMF can be used to support a wide range of activities, but these should all aim at the overall goal, to support the strategic aims of the New Zealand Aid Programme.",Head of Mission Fund,,01/07/2000,,,Timor-Leste,Ainaro," - Ainaro
 - Dili
 - Lautem
 - Viqueque"," - Ainaro
 - Atauro
 - Iliomar
 - Lospalos
 - Uatu Carbau
 - Viqueque","New Zealand Aid Programme, Ministry of Foreign Affairs and Trade",400 - MULTISECTOR/CROSS-CUTTING, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411696.161,0,58262.326,0,33799.008,0,53992.036,0,41765.169,0,57401.162,0,47418.31,0,66192.288,0,109604.627,0,66345.994,0,0,0,62088.955,0,0,0,62088.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644283.278,0,426371.718
  87292486917, ,Lafaek Learning Media,,18/06/2014,15/06/2019,18/06/2014,Timor-Leste, , , ,"New Zealand Aid Programme, Ministry of Foreign Affairs and Trade",110 - EDUCATION,-- 112 - Basic education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336691,1551054,0,1336691,945069,0,0,945069,1025487,0,0,1025487,764215,0,0,764215,0,0,0,0,0,0,0,0,0,0,0,0,4071462,1551054,0,4071462
