AidData ID,Project Title,Source Label,Source ID,Transaction Type,Date (DD/MM/YYYY),Year,Funding Region,Funding Organization,Funding Organisation ISO,Provider Name,Receiver Region,Receiver Country,Receiver Country ISO,Amount (Original Currency),Original Currency,Amount (Constant USD2011),Amount (Nominal USD2011),Type of Assistance,Receiver
904000000001,Singhadurbar and Sthaniya Sarkar,Country System,9,Commitment Loan / Grant Amount,18/12/2013,2013,North & Central America,United States,,United States Agency for International Development (USAID),South & Central Asia,Nepal,NP,1003456,USD,1003456,1003456,Grant,
904000000001,Singhadurbar and Sthaniya Sarkar,Country System,9,Disbursement Amount,18/12/2013,2013,North & Central America,United States,,United States Agency for International Development (USAID),South & Central Asia,Nepal,NP,997790,USD,997790,997790,Grant,
904000000003,"Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information, Protection during Recruitment and Employment, Skills, and Development Impact",Country System,9,Commitment Loan / Grant Amount,31/5/2013,2013,Europe,European Communities (EC),,,South & Central Asia,Nepal,NP,480000,USD,480000,480000,Grant,
904000000003,"Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information, Protection during Recruitment and Employment, Skills, and Development Impact",Country System,9,Commitment Loan / Grant Amount,30/6/2013,2013,Multilaterals,United Nations,,International Labour Organisation (ILO),South & Central Asia,Nepal,NP,288900,USD,288900,288900,ODA Grant-Like,
904000000003,"Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information, Protection during Recruitment and Employment, Skills, and Development Impact",Country System,9,Disbursement Amount,31/5/2013,2013,Europe,European Communities (EC),,,South & Central Asia,Nepal,NP,120000,USD,120000,120000,Grant,
904000000003,"Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information, Protection during Recruitment and Employment, Skills, and Development Impact",Country System,9,Disbursement Amount,31/7/2013,2013,Multilaterals,United Nations,,International Labour Organisation (ILO),South & Central Asia,Nepal,NP,120000,USD,120000,120000,ODA Grant-Like,
904000000003,"Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information, Protection during Recruitment and Employment, Skills, and Development Impact",Country System,9,Disbursement Amount,30/10/2013,2013,Europe,European Communities (EC),,,South & Central Asia,Nepal,NP,60000,USD,60000,60000,Grant,
904000000003,"Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information, Protection during Recruitment and Employment, Skills, and Development Impact",Country System,9,,30/10/2013,2013,Europe,European Communities (EC),,,South & Central Asia,Nepal,NP,50553,USD,50553,50553,Grant,
904000000003,"Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information, Protection during Recruitment and Employment, Skills, and Development Impact",Country System,9,,27/2/2014,2014,Europe,European Communities (EC),,,South & Central Asia,Nepal,NP,43117.8,USD,43117.8,43117.8,Grant,
904000000003,"Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information, Protection during Recruitment and Employment, Skills, and Development Impact",Country System,9,Commitment Loan / Grant Amount,31/5/2013,2013,Europe,European Communities (EC),,,South & Central Asia,Nepal,NP,320000,USD,320000,320000,Grant,
904000000003,"Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information, Protection during Recruitment and Employment, Skills, and Development Impact",Country System,9,Commitment Loan / Grant Amount,30/6/2013,2013,Multilaterals,United Nations,,International Labour Organisation (ILO),South & Central Asia,Nepal,NP,192600,USD,192600,192600,ODA Grant-Like,
904000000003,"Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information, Protection during Recruitment and Employment, Skills, and Development Impact",Country System,9,Disbursement Amount,31/5/2013,2013,Europe,European Communities (EC),,,South & Central Asia,Nepal,NP,80000,USD,80000,80000,Grant,
904000000003,"Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information, Protection during Recruitment and Employment, Skills, and Development Impact",Country System,9,Disbursement Amount,31/7/2013,2013,Multilaterals,United Nations,,International Labour Organisation (ILO),South & Central Asia,Nepal,NP,80000,USD,80000,80000,ODA Grant-Like,
