AidData ID,Geoname,Geoname ID,Latitude,Longitude,Precision Code,Date,ADM1 Name,ADM1 Code,ADM2 Name,ADM2 Code,Source URL,Source,Note,Location Type,Activities
904000000378,Galdha,7798866,27.7993,83.8978,1,,West,0,Lumbini,0,,,,,
904000000378,Gamaudi,7801750,28.83586,81.64992,1,,Mid-Western,0,Bheri,0,,,,,
904000000378,Gamhariya,7799051,26.8826,85.5601,1,,Central,0,Janakpur,0,,,,,
904000000378,Gamhariya,7800289,27.0863,84.83882,1,,Central,0,Narayani,0,,,,,
904000000378,GamhariyaBirta,7799219,26.9958,85.3042,1,,Central,0,Narayani,0,,,,,
904000000378,GamhariyaParsa,7799234,26.9268,85.3762,1,,Central,0,Narayani,0,,,,,
904000000378,GamhariyaParwaha,7801283,26.52139,86.65856,1,,East,0,Sagarmatha,0,,,,,
904000000378,Gamnangtar,7802158,27.39356,86.26221,1,,East,0,Sagarmatha,0,,,,,
904000000378,Ganapur,7801668,28.12717,81.65472,1,,Mid-Western,0,Bheri,0,,,,,
904000000378,Ganeshpur,7800221,29.28344,80.6743,1,,Far-Western,0,Mahakali,0,,,,,
904000000378,Ganeshpur,7801735,27.5691,82.76198,1,,West,0,Lumbini,0,,,,,
904000000378,Ganeshthan,7801007,27.92051,85.25553,1,,Central,0,Bagmati,0,,,,,
904000000378,Gangapipara,7799244,26.8445,85.3295,1,,Central,0,Narayani,0,,,,,
904000000378,Gangapraspur,7798757,27.7895,82.5839,1,,Mid-Western,0,Rapti,0,,,,,
904000000378,Gangapur,7800481,27.95621,81.7763,1,,Mid-Western,0,Bheri,0,,,,,
904000000378,Gangoliya,7801216,27.56973,83.5145,1,,West,0,Lumbini,0,,,,,
904000000378,Ganjari,7798738,29.2442,81.0706,1,,Far-Western,0,Seti,0,,,,,
904000000378,Ganjbhawanipur,7799061,27.0215,85.0621,1,,Central,0,Narayani,0,,,,,
904000000378,Gankhet,7800563,29.19143,80.5307,1,,Far-Western,0,Mahakali,0,,,,,
904000000378,Garamani,7801908,26.59707,88.01428,1,,East,0,Mechi,0,,,,,
904000000378,Garayala,7801191,28.68246,82.33926,1,,Mid-Western,0,Rapti,0,,,,,
904000000378,Gardi,7800548,27.47848,84.2809,1,,Central,0,Narayani,0,,,,,
904000000378,Garjyangkot,7798806,29.253,82.265,1,,Mid-Western,0,Karnali,0,,,,,
904000000378,Garkhakot,7801890,28.85567,82.01298,1,,Mid-Western,0,Bheri,0,,,,,
904000000378,Garma,7801409,27.45988,86.58798,1,,East,0,Sagarmatha,0,,,,,
904000000378,Garpan,7802593,28.63081,81.74216,1,,Mid-Western,0,Bheri,0,,,,,
904000000378,GarudaBairiya,7799250,26.9494,85.3232,1,,Central,0,Narayani,0,,,,,
904000000378,Gati,7801331,27.82553,85.90248,1,,Central,0,Bagmati,0,,,,,
904000000378,Gatlang,7802271,28.16426,85.26809,1,,Central,0,Bagmati,0,,,,,
904000000378,Gauda,7800857,28.17178,84.51277,1,,West,0,Gandaki,0,,,,,
904000000378,Gaunkharka,7802134,27.93813,85.44309,1,,Central,0,Bagmati,0,,,,,
904000000378,Gaunshahar,7800858,28.20573,84.38054,1,,West,0,Gandaki,0,,,,,
904000000378,Gauradaha,7800733,26.56138,87.72044,1,,East,0,Mechi,0,,,,,
904000000378,Gauri,7800284,28.78006,81.66757,1,,Mid-Western,0,Bheri,0,,,,,
904000000378,Gauri,7800574,27.50451,83.07171,1,,West,0,Lumbini,0,,,,,
904000000378,Gauribas,7800886,27.04821,85.91202,1,,Central,0,Janakpur,0,,,,,
904000000378,Gauriganj,7801909,26.44714,87.72898,1,,East,0,Mechi,0,,,,,
904000000378,Gauripur,7798546,26.6935,86.3022,1,,East,0,Sagarmatha,0,,,,,
904000000378,GauriSankar,7801803,27.85563,86.26379,1,,Central,0,Janakpur,0,,,,,
904000000378,GaurN.P.,7799258,26.778,85.2771,1,,Central,0,Narayani,0,,,,,
904000000378,Gaushala,7800887,26.91732,85.8028,1,,Central,0,Janakpur,0,,,,,
904000000378,Gautamkot,7801192,28.86794,82.5212,1,,Mid-Western,0,Rapti,0,,,,,
904000000378,Gautampur,7802572,26.52293,87.13913,1,,East,0,Koshi,0,,,,,
904000000378,Gautari,7801369,26.82981,86.18352,1,,East,0,Sagarmatha,0,,,,,
904000000378,Gedahiguthi,7799268,26.9301,85.3256,1,,Central,0,Narayani,0,,,,,
904000000378,Gejha,7798868,27.8794,83.7799,1,,West,0,Lumbini,0,,,,,
904000000378,Gela,7799279,29.0715,81.7195,1,,Mid-Western,0,Karnali,0,,,,,
904000000378,Gelu,7802257,27.45204,86.08582,1,,Central,0,Janakpur,0,,,,,
904000000378,Gerkhu,7802135,27.95179,85.19261,1,,Central,0,Bagmati,0,,,,,
904000000378,Geta,7799018,28.7762,80.565,1,,Far-Western,0,Seti,0,,,,,
904000000378,Ghachok,7800785,28.31942,83.94647,1,,West,0,Gandaki,0,,,,,
904000000378,Ghailadubba,7800734,26.62177,87.93038,1,,East,0,Mechi,0,,,,,
904000000378,Ghairung,7799075,27.9268,84.6641,1,,West,0,Gandaki,0,,,,,
